path,bit,flip_frac
distillation,1014,0.1298
distillation,1015,0.1182
distillation,1016,0.1362
distillation,1017,0.1422
distillation,1018,0.1578
distillation,1019,0.1338
distillation,1020,0.1426
distillation,1021,0.1252
distillation,1022,0.1294
distillation,1023,0.14
head-adapt,0,0.1042
head-adapt,1,0.1124
head-adapt,2,0.1162
head-adapt,3,0.11
head-adapt,4,0.1138
head-adapt,5,0.1066
head-adapt,6,0.1012
head-adapt,7,0.1092
head-adapt,8,0.1654
head-adapt,9,0.172
head-adapt,10,0.1572
head-adapt,11,0.1514
head-adapt,12,0.149
head-adapt,13,0.1562
head-adapt,14,0.1476
head-adapt,15,0.1446
head-adapt,16,0.1674
head-adapt,17,0.1658
head-adapt,18,0.1804
head-adapt,19,0.1752
head-adapt,20,0.1832
head-adapt,21,0.1886
head-adapt,22,0.1896
head-adapt,23,0.176
head-adapt,24,0.1866
head-adapt,25,0.1762
head-adapt,26,0.1968
head-adapt,27,0.178
head-adapt,28,0.197
head-adapt,29,0.1788
head-adapt,30,0.192
head-adapt,31,0.1892
head-adapt,32,0.1906
head-adapt,33,0.1654
head-adapt,34,0.185
head-adapt,35,0.19
head-adapt,36,0.1474
head-adapt,37,0.18
head-adapt,38,0.187
head-adapt,39,0.1816
head-adapt,40,0.1702
head-adapt,41,0.1722
head-adapt,42,0.1968
head-adapt,43,0.1714
head-adapt,44,0.2034
head-adapt,45,0.1904
head-adapt,46,0.176
head-adapt,47,0.1756
head-adapt,48,0.1784
head-adapt,49,0.193
head-adapt,50,0.173
head-adapt,51,0.1684
head-adapt,52,0.1742
head-adapt,53,0.191
head-adapt,54,0.1356
head-adapt,55,0.1802
head-adapt,56,0.175
head-adapt,57,0.2134
head-adapt,58,0.1686
head-adapt,59,0.181
head-adapt,60,0.178
head-adapt,61,0.1986
head-adapt,62,0.1464
head-adapt,63,0.165
head-adapt,64,0.1728
head-adapt,65,0.188
head-adapt,66,0.1534
head-adapt,67,0.1932
head-adapt,68,0.1786
head-adapt,69,0.1828
head-adapt,70,0.168
head-adapt,71,0.1764
head-adapt,72,0.1794
head-adapt,73,0.185
head-adapt,74,0.1872
head-adapt,75,0.186
head-adapt,76,0.2014
head-adapt,77,0.1778
head-adapt,78,0.162
head-adapt,79,0.1864
head-adapt,80,0.1824
head-adapt,81,0.1738
head-adapt,82,0.1914
head-adapt,83,0.1592
head-adapt,84,0.1624
head-adapt,85,0.1606
head-adapt,86,0.195
head-adapt,87,0.1786
head-adapt,88,0.1698
head-adapt,89,0.1866
head-adapt,90,0.1626
head-adapt,91,0.185
head-adapt,92,0.1648
head-adapt,93,0.1502
head-adapt,94,0.1692
head-adapt,95,0.1686
head-adapt,96,0.1886
head-adapt,97,0.1446
head-adapt,98,0.174
head-adapt,99,0.1734
head-adapt,100,0.1912
head-adapt,101,0.1806
head-adapt,102,0.2038
head-adapt,103,0.1474
head-adapt,104,0.1748
head-adapt,105,0.195
head-adapt,106,0.1446
head-adapt,107,0.2064
head-adapt,108,0.1792
head-adapt,109,0.1638
head-adapt,110,0.1742
head-adapt,111,0.1906
head-adapt,112,0.1824
head-adapt,113,0.1864
head-adapt,114,0.1722
head-adapt,115,0.1798
head-adapt,116,0.1668
head-adapt,117,0.1978
head-adapt,118,0.1586
head-adapt,119,0.1912
head-adapt,120,0.1594
head-adapt,121,0.1816
head-adapt,122,0.1768
head-adapt,123,0.178
head-adapt,124,0.184
head-adapt,125,0.1546
head-adapt,126,0.1878
head-adapt,127,0.1584
head-adapt,128,0.1768
head-adapt,129,0.1918
head-adapt,130,0.1704
head-adapt,131,0.168
head-adapt,132,0.1538
